 Peopleid,Job Satisfaction,Salary,Salary Unit,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Date,Year
20131,8,56160,hour,"Boston, MA, US",Intern,Boutique,16-30,,,,,Full-time,< 1,18-20,Male,No,Wentworth Institute of Technology,,,2024-10-01,2024
20130,7,80000,year,"New York, NY, US",Designer,Corporate,501+,Yes,Paid Overtime,10.0,,Full-time,2,31-35,Female,No,,City College of New York (CCNY),,2024-10-01,2024
20129,7,93000,year,"San Francisco, CA, US",Project Architect,Individual,11-15,Yes,Paid Overtime,14.0,,Full-time,3-5,26-30,Male,Licensed,,,,2024-10-01,2024
20128,10,65000,year,"Sioux Falls, SD, US",Designer,Individual,16-30,Yes,,15.0,"1,000",Full-time,2,21-25,Female,No,South Dakota State University,South Dakota State University,,2024-10-01,2024
20126,7,96000,year,"New York, NY, US",Senior Designer,Starchitect,31-50,Yes,Unpaid Overtime,10.0,"5,000",Full-time,8-10,26-30,Female,No,Wentworth Institute of Technology,Wentworth Institute of Technology,,2024-10-01,2024
20125,4,110000,year,"San Diego, CA, US",Project Architect,Boutique,31-50,Yes,No Overtime,14.0,"15,000",Full-time,11-15,46-50,Male,Licensed,,,,2024-10-01,2024
20124,7,85000,year,"New York, NY, US",Junior Architect,Corporate,51-100,Yes,No Overtime,,"2,000",Full-time,6-7,26-30,Male,No,,,,2024-10-01,2024
20122,8,67500,year,"New Orleans, LA, US",Job Captain,,16-30,Yes,No Overtime,,"1,500",Full-time,3-5,26-30,Other,No,,,,2024-10-01,2024
20121,7,70000,year,"New York, NY, US",Intermediate Designer,,31-50,,,20.0,,Full-time,3-5,26-30,Female,No,,,,2024-10-01,2024
20120,10,52000,hour,"Maplewood, NJ, US",Designer,Boutique,6-10,,,,,Full-time,< 1,21-25,Female,No,,University of Notre Dame,,2024-10-01,2024
20118,9,101000,year,"Missoula, MT, US",Project Architect,,51-100,Yes,Unpaid Overtime,,"9,000",Full-time,26-30,51-55,Male,Licensed,,,,2024-10-01,2024
20117,4,55016,year,"Sioux Falls, SD, US",Designer,Corporate,101-200,Yes,Unpaid Overtime,14.0,"1,500",Full-time,2,21-25,Female,No,South Dakota State University,South Dakota State University,,2024-10-01,2024
20116,7,74000,year,"Boston, MA, US",Designer,Corporate,51-100,Yes,Paid Overtime,10.0,"2,000",Full-time,3,26-30,Female,No,Cornell University,,,2024-10-01,2024
20113,5,94000,year,"Miami, FL, US",Designer,Corporate,501+,Yes,Unpaid Overtime,15.0,"5,000",Full-time,8-10,31-35,Female,No,,,,2024-10-01,2024
20112,6,41500,year,"Marion, IL, US",Designer,Corporate,11-15,Yes,Unpaid Overtime,15.0,,Full-time,2,26-30,Male,No,Southern Illinois University Carbondale,Southern Illinois University Carbondale,,2024-10-01,2024
20110,7,76000,year,"West Palm Beach, FL, US",Project Architect,Individual,2-5,,,,,Full-time,8-10,41-45,Female,No,,,,2024-10-01,2024
20107,9,135000,year,"Indianapolis, IN, US",Interior Designer,Corporate,31-50,Yes,Unpaid Overtime,15.0,"10,000",Full-time,16-20,41-45,Male,Licensed,,,,2024-09-01,2024
20104,6,110000,year,"Los Angeles, CA, US",Project Architect,Corporate,101-200,Yes,Unpaid Overtime,,"3,000",Full-time,11-15,36-40,Female,Licensed,,,,2024-09-01,2024
20103,5,65000,year,"New York, NY, US",Junior Designer,Corporate,101-200,Yes,Unpaid Overtime,12.0,"3,000",Full-time,2,26-30,Female,No,Farmingdale State College,City College of New York (CCNY),,2024-09-01,2024
20102,10,70000,year,"Austin, TX, US",Designer,Other,16-30,Yes,No Overtime,15.0,,Full-time,3-5,31-35,Female,Licensed,Texas A&M University,The University of Texas at Austin,,2024-09-01,2024
