Job Satisfaction,Salary,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Year,Latitude,Longitude
8,56160,"Boston, MA, US",Intern,Boutique,16-30,,,,,Full-time,< 1,18-20,Male,No,Wentworth Institute of Technology,,,2024,42.3554334,-71.060511
7,80000,"New York, NY, US",Designer,Corporate,501+,Yes,Paid Overtime,10.0,,Full-time,2,31-35,Female,No,,City College of New York (CCNY),,2024,40.7127281,-74.0060152
7,93000,"San Francisco, CA, US",Project Architect,Individual,11-15,Yes,Paid Overtime,14.0,,Full-time,3-5,26-30,Male,Licensed,,,,2024,37.7792588,-122.4193286
10,65000,"Sioux Falls, SD, US",Designer,Individual,16-30,Yes,,15.0,"1,000",Full-time,2,21-25,Female,No,South Dakota State University,South Dakota State University,,2024,43.5476008,-96.7293629
7,96000,"New York, NY, US",Senior Designer,Starchitect,31-50,Yes,Unpaid Overtime,10.0,"5,000",Full-time,8-10,26-30,Female,No,Wentworth Institute of Technology,Wentworth Institute of Technology,,2024,40.7127281,-74.0060152
4,110000,"San Diego, CA, US",Project Architect,Boutique,31-50,Yes,No Overtime,14.0,"15,000",Full-time,11-15,46-50,Male,Licensed,,,,2024,32.7174202,-117.162772
7,85000,"New York, NY, US",Junior Architect,Corporate,51-100,Yes,No Overtime,,"2,000",Full-time,6-7,26-30,Male,No,,,,2024,40.7127281,-74.0060152
8,67500,"New Orleans, LA, US",Job Captain,,16-30,Yes,No Overtime,,"1,500",Full-time,3-5,26-30,Other,No,,,,2024,29.9759983,-90.0782127
7,70000,"New York, NY, US",Intermediate Designer,,31-50,,,20.0,,Full-time,3-5,26-30,Female,No,,,,2024,40.7127281,-74.0060152
10,52000,"Maplewood, NJ, US",Designer,Boutique,6-10,,,,,Full-time,< 1,21-25,Female,No,,University of Notre Dame,,2024,40.7312123,-74.2734808
9,101000,"Missoula, MT, US",Project Architect,,51-100,Yes,Unpaid Overtime,,"9,000",Full-time,26-30,51-55,Male,Licensed,,,,2024,46.8701049,-113.995267
4,55016,"Sioux Falls, SD, US",Designer,Corporate,101-200,Yes,Unpaid Overtime,14.0,"1,500",Full-time,2,21-25,Female,No,South Dakota State University,South Dakota State University,,2024,43.5476008,-96.7293629
7,74000,"Boston, MA, US",Designer,Corporate,51-100,Yes,Paid Overtime,10.0,"2,000",Full-time,3,26-30,Female,No,Cornell University,,,2024,42.3554334,-71.060511
5,94000,"Miami, FL, US",Designer,Corporate,501+,Yes,Unpaid Overtime,15.0,"5,000",Full-time,8-10,31-35,Female,No,,,,2024,25.7741728,-80.19362
6,41500,"Marion, IL, US",Designer,Corporate,11-15,Yes,Unpaid Overtime,15.0,,Full-time,2,26-30,Male,No,Southern Illinois University Carbondale,Southern Illinois University Carbondale,,2024,38.6477381,-88.9232112
7,76000,"West Palm Beach, FL, US",Project Architect,Individual,2-5,,,,,Full-time,8-10,41-45,Female,No,,,,2024,26.715364,-80.0532942
9,135000,"Indianapolis, IN, US",Interior Designer,Corporate,31-50,Yes,Unpaid Overtime,15.0,"10,000",Full-time,16-20,41-45,Male,Licensed,,,,2024,39.7683331,-86.1583502
6,110000,"Los Angeles, CA, US",Project Architect,Corporate,101-200,Yes,Unpaid Overtime,,"3,000",Full-time,11-15,36-40,Female,Licensed,,,,2024,34.0536909,-118.242766
5,65000,"New York, NY, US",Junior Designer,Corporate,101-200,Yes,Unpaid Overtime,12.0,"3,000",Full-time,2,26-30,Female,No,Farmingdale State College,City College of New York (CCNY),,2024,40.7127281,-74.0060152
10,70000,"Austin, TX, US",Designer,Other,16-30,Yes,No Overtime,15.0,,Full-time,3-5,31-35,Female,Licensed,Texas A&M University,The University of Texas at Austin,,2024,30.2711286,-97.7436995
9,250000,"Nashville, TN, US",Principal,Individual,6-10,Yes,Unpaid Overtime,30.0,"60,000",Full-time,> 40,71-103,Male,Licensed,,,,2024,36.1622767,-86.7742984
7,72000,"Dallas, TX, US",Senior Designer,Corporate,501+,Yes,No Overtime,20.0,,Full-time,3-5,26-30,Male,No,Texas Tech University,,,2024,32.7762719,-96.7968559
3,125000,"Miami, FL, US",Principal,Boutique,51-100,,Unpaid Overtime,,,Full-time,21-25,41-45,Female,No,,,,2024,25.7741728,-80.19362
8,162000,"Boston, MA, US",Principal,Other,201-500,Yes,No Overtime,20.0,,Full-time,11-15,36-40,Female,Licensed,,,,2024,42.3554334,-71.060511
10,129000,"Decatur, GA, US",Project Manager,Other,501+,Yes,Unpaid Overtime,30.0,"20,000",Full-time,6-7,31-35,Male,Licensed,Georgia Institute of Technology (Georgia Tech),University of Michigan,,2024,30.8736613,-84.5740953
8,70000,"New York, NY, US",Project Manager,Other,51-100,Yes,Paid Overtime,17.0,,Full-time,< 1,26-30,Male,No,,,,2024,40.7127281,-74.0060152
8,105000,"San Francisco, CA, US",Senior Architect,Boutique,6-10,Yes,Unpaid Overtime,10.0,"3,000",Full-time,8-10,31-35,Female,Licensed,University of Virginia,Harvard University,,2024,37.7792588,-122.4193286
7,200000,"Los Angeles, CA, US",Principal,Corporate,51-100,Yes,Unpaid Overtime,20.0,,Full-time,21-25,36-40,Male,No,,,,2024,34.0536909,-118.242766
7,105000,"Lancaster, PA, US",Senior Architect,Boutique,51-100,Yes,Unpaid Overtime,20.0,"15,000",Full-time,16-20,36-40,Male,Licensed,,,,2024,40.08067,-76.2411283
9,110000,"Los Angeles, CA, US",Construction Administrator,Corporate,501+,Yes,,15.0,"22,000",Full-time,8-10,31-35,Male,Licensed,,,,2024,34.0536909,-118.242766
9,85000,"Houston, TX, US",BIM Specialist,Corporate,501+,Yes,Paid Overtime,20.0,"11,000",Full-time,6-7,26-30,Male,No,University of Arkansas,,,2024,29.7589382,-95.3676974
6,100000,"Los Angeles, CA, US",Project Architect,,11-15,Yes,No Overtime,7.0,,Full-time,11-15,51-55,Female,Licensed,,,,2024,34.0536909,-118.242766
1,63000,"Birmingham, AL, US",Designer,Individual,31-50,Yes,Unpaid Overtime,10.0,"1,000",Full-time,1,21-25,Female,No,Mississippi State University,,,2024,33.5206824,-86.8024326
7,72450,"San Francisco, CA, US",Junior Designer,Starchitect,31-50,,Unpaid Overtime,16.0,"1,500",Full-time,2,26-30,Female,No,California College of the Arts,,,2024,37.7792588,-122.4193286
