id,Job Satisfaction,Salary,Salary Unit,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Date,Year,Latitude,Longitude
20182,5,68000,year,"Albany, NY",Designer,Corporate,11-15,Yes,Unpaid Overtime,12.0,,Full-time,3-5,26-30,Female,No,University of Oregon,University of Oregon,,2024-11-01,2024,42.6511674,-73.754968
20181,7,100000,year,"Philadelphia, PA",Project Architect,Starchitect,31-50,Yes,No Overtime,10.0,,Full-time,11-15,36-40,Female,Yes,,,,2024-11-01,2024,39.9527237,-75.1635262
20180,6,100000,year,"Steamboat Springs, CO",Project Architect,Boutique,11-15,Yes,Unpaid Overtime,21.0,2000.0,Full-time,8-10,31-35,Female,Yes,University of Colorado at Boulder,,,2024-11-01,2024,,
20178,7,74000,year,"New York, NY",Intermediate Designer,Corporate,501+,Yes,No Overtime,10.0,,Full-time,2,26-30,Female,No,,,,2024-11-01,2024,40.7127281,-74.0060152
20176,7,102000,year,"Los Angeles, CA",Project Manager,Boutique,31-50,Yes,Unpaid Overtime,20.0,5000.0,Full-time,11-15,36-40,Male,No,"University of California, Los Angeles (UCLA)",,,2024-11-01,2024,34.0536909,-118.242766
20172,7,72000,year,"Chicago, IL",Designer,Corporate,501+,Yes,Unpaid Overtime,10.0,2000.0,Full-time,3-5,26-30,Male,No,,,,2024-11-01,2024,41.8755616,-87.6244212
20171,4,70000,year,"Philadelphia, PA",Junior Architect,Boutique,16-30,Yes,Unpaid Overtime,15.0,1000.0,,3-5,26-30,Male,No,,Temple University,,2024-11-01,2024,39.9527237,-75.1635262
20170,7,119500,year,"Fairfax, VA",Project Manager,Boutique,16-30,Yes,Unpaid Overtime,15.0,6000.0,Full-time,8-10,31-35,Male,Yes,,,,2024-11-01,2024,38.8156356,-77.2836849
20169,9,67000,year,"Atlanta, GA",Junior Designer,Corporate,101-200,Yes,Unpaid Overtime,28.0,,Full-time,1,21-25,Female,No,Georgia Institute of Technology (Georgia Tech),Georgia Institute of Technology (Georgia Tech),,2024-11-01,2024,33.7489924,-84.3902644
20168,4,60000,year,"Ellicott City, MD",Junior Architect,Corporate,6-10,,Unpaid Overtime,6.0,,Full-time,3,26-30,Male,Yes,Syracuse University,Rhode Island School of Design (RISD),,2024-11-01,2024,39.27573585,-76.831741741596
20167,3,80000,year,"San Francisco, CA",Designer,,51-100,Yes,Unpaid Overtime,,,Full-time,3-5,31-35,Female,No,,Washington University in St. Louis,,2024-11-01,2024,37.7792588,-122.4193286
20166,6,86000,year,"Boston, MA",Designer,Individual,31-50,Yes,No Overtime,20.0,5000.0,Full-time,3-5,26-30,Female,No,,University of Michigan,,2024-11-01,2024,42.3554334,-71.060511
20165,7,85000,year,"Eugene, OR",Project Architect,Boutique,11-15,Yes,,24.0,5000.0,,6-7,31-35,Male,Yes,University of Oregon,,,2024-11-01,2024,44.0505054,-123.0950506
20163,7,65000,year,"Washington, DC",Designer,Corporate,501+,Yes,Unpaid Overtime,15.0,2000.0,Full-time,3-5,26-30,Female,No,Northeastern University,Northeastern University,,2024-11-01,2024,38.8950368,-77.0365427
20161,7,90000,year,"Detroit, MI",Project Architect,Boutique,6-10,Yes,Unpaid Overtime,15.0,,Full-time,11-15,36-40,Male,No,Lawrence Technological University,Lawrence Technological University,,2024-11-01,2024,42.3315509,-83.0466403
20160,6,82500,year,"New York, NY",Intermediate Architect,,11-15,,,,,,16-20,41-45,Female,No,,,,2024-11-01,2024,40.7127281,-74.0060152
20159,8,124000,year,"San Francisco, CA",Senior Designer,Corporate,101-200,Yes,Unpaid Overtime,14.0,50000.0,Full-time,11-15,36-40,Male,No,,,,2024-11-01,2024,37.7792588,-122.4193286
20157,10,646000,year,"Honolulu, HI",Partner,Corporate,51-100,Yes,Unpaid Overtime,21.0,65000.0,Full-time,26-30,46-50,Other,Yes,,,,2024-10-01,2024,21.304547,-157.855676
20156,10,48000,year,"Honolulu, HI",Designer,Boutique,11-15,Yes,No Overtime,15.0,1500.0,Full-time,< 1,21-25,Male,No,University of Hawai?i at M?noa,,,2024-10-01,2024,21.304547,-157.855676
20154,7,100000,year,"Boston, MA",Project Architect,Boutique,2-5,Yes,No Overtime,15.0,,Full-time,8-10,36-40,Male,Yes,,,,2024-10-01,2024,42.3554334,-71.060511
20153,6,93000,year,"Los Angeles, CA",Intermediate Architect,Corporate,201-500,Yes,,17.0,5000.0,Full-time,3-5,31-35,Female,Yes,,,,2024-10-01,2024,34.0536909,-118.242766
20151,6,60000,year,"Birmingham, AL",Associate,,11-15,Yes,,15.0,5000.0,Full-time,3-5,26-30,Female,No,Mississippi State University,,,2024-10-01,2024,33.5206824,-86.8024326
20150,7,96000,year,"Palo Alto, CA",Project Architect,Boutique,11-15,Yes,Unpaid Overtime,15.0,7500.0,Full-time,6-7,26-30,Female,Yes,,,,2024-10-01,2024,37.4443293,-122.1598465
20149,1,81000,year,"Los Angeles, CA",Job Captain,Corporate,101-200,Yes,,15.0,,Full-time,8-10,31-35,Female,No,,,,2024-10-01,2024,34.0536909,-118.242766
20148,7,64000,year,Indiana,Associate,Individual,11-15,Yes,Paid Overtime,15.0,6000.0,Full-time,8-10,31-35,Male,No,Ball State University,,,2024-10-01,2024,40.3270127,-86.1746933
20147,7,80000,year,"Dallas, TX",Junior Designer,Corporate,501+,Yes,Unpaid Overtime,20.0,8000.0,Full-time,3-5,31-35,Female,No,North Dakota State University,North Dakota State University,,2024-10-01,2024,32.7762719,-96.7968559
