DATE,CASTHPI
1975-01-01,41.69
1975-04-01,42.77
1975-07-01,44.36
1975-10-01,45.79
1976-01-01,47.82
1976-04-01,50.28
1976-07-01,53.58
1976-10-01,55.59
1977-01-01,58.03
1977-04-01,63.02
1977-07-01,67.97
1977-10-01,70.7
1978-01-01,73.22
1978-04-01,75.99
1978-07-01,78.62
1978-10-01,81.81
1979-01-01,84.88
1979-04-01,88.67
1979-07-01,93.12
1979-10-01,96.39
1980-01-01,100.00
1980-04-01,102.85
1980-07-01,106.54
1980-10-01,108.37
1981-01-01,110.44
1981-04-01,112.9
1981-07-01,116.28
1981-10-01,117.6
1982-01-01,104.07
1982-04-01,107.34
1982-07-01,104.79
1982-10-01,115.85
1983-01-01,116.69
1983-04-01,117.43
1983-07-01,117.23
1983-10-01,117.73
1984-01-01,119.47
1984-04-01,120.09
1984-07-01,121.68
1984-10-01,122.76
1985-01-01,124.5
1985-04-01,126.28
1985-07-01,129.16
1985-10-01,130.55
1986-01-01,132.24
1986-04-01,134.78
1986-07-01,137.74
1986-10-01,141.09
1987-01-01,144.71
1987-04-01,148.26
1987-07-01,152.92
1987-10-01,157.23
1988-01-01,163.0
1988-04-01,169.71
1988-07-01,177.75
1988-10-01,187.47
1989-01-01,196.25
1989-04-01,205.91
1989-07-01,217.81
1989-10-01,224.67
1990-01-01,227.43
1990-04-01,228.17
1990-07-01,230.1
1990-10-01,228.57
1991-01-01,228.49
1991-04-01,227.08
1991-07-01,227.08
1991-10-01,228.75
1992-01-01,227.55
1992-04-01,225.19
1992-07-01,224.75
1992-10-01,222.65
1993-01-01,219.21
1993-04-01,217.33
1993-07-01,215.48
1993-10-01,214.2
1994-01-01,212.09
1994-04-01,206.94
1994-07-01,203.89
1994-10-01,201.0
1995-01-01,199.68
1995-04-01,201.57
1995-07-01,203.91
1995-10-01,203.59
1996-01-01,203.56
1996-04-01,200.97
1996-07-01,200.59
1996-10-01,201.64
1997-01-01,202.59
1997-04-01,204.62
1997-07-01,208.66
1997-10-01,212.31
1998-01-01,216.94
1998-04-01,221.68
1998-07-01,227.53
1998-10-01,231.92
1999-01-01,235.41
1999-04-01,239.41
1999-07-01,244.91
1999-10-01,250.09
2000-01-01,260.96
2000-04-01,267.99
2000-07-01,276.98
2000-10-01,285.54
2001-01-01,296.58
2001-04-01,305.66
2001-07-01,312.09
2001-10-01,316.47
2002-01-01,324.92
2002-04-01,335.95
2002-07-01,348.6
2002-10-01,358.79
2003-01-01,367.07
2003-04-01,373.95
2003-07-01,386.64
2003-10-01,411.35
2004-01-01,424.62
2004-04-01,451.21
2004-07-01,497.08
2004-10-01,516.2
2005-01-01,538.76
2005-04-01,570.36
2005-07-01,598.83
2005-10-01,625.53
2006-01-01,638.56
2006-04-01,644.42
2006-07-01,646.51
2006-10-01,642.8
2007-01-01,634.04
2007-04-01,623.4
2007-07-01,600.1
2007-10-01,575.6
2008-01-01,543.31
2008-04-01,498.41
2008-07-01,460.57
2008-10-01,444.67
2009-01-01,440.68
2009-04-01,420.59
2009-07-01,411.29
2009-10-01,412.61
2010-01-01,409.56
2010-04-01,408.33
2010-07-01,410.58
2010-10-01,406.05
2011-01-01,391.53
2011-04-01,385.25
2011-07-01,386.85
2011-10-01,385.67
2012-01-01,381.37
2012-04-01,382.01
2012-07-01,390.94
2012-10-01,399.24
2013-01-01,407.66
2013-04-01,426.38
2013-07-01,447.34
2013-10-01,462.17
2014-01-01,471.8
2014-04-01,484.58
2014-07-01,494.71
2014-10-01,500.33
2015-01-01,505.57
2015-04-01,516.9
2015-07-01,530.09
2015-10-01,537.4
2016-01-01,544.44
2016-04-01,554.09
2016-07-01,566.22
2016-10-01,573.03
2017-01-01,578.98
2017-04-01,591.0
2017-07-01,602.77
2017-10-01,611.41
2018-01-01,621.87
2018-04-01,633.73
2018-07-01,641.73
2018-10-01,641.65
2019-01-01,645.81
2019-04-01,652.4
2019-07-01,659.29
2019-10-01,663.58
2020-01-01,669.83
2020-04-01,677.51
2020-07-01,685.44
2020-10-01,699.58
2021-01-01,719.17
2021-04-01,761.86
2021-07-01,801.51
2021-10-01,834.04
2022-01-01,868.08
2022-04-01,921.81
2022-07-01,916.28
2022-10-01,893.83
2023-01-01,891.14
2023-04-01,913.78
2023-07-01,927.98
2023-10-01,930.34
2024-01-01,942.55
2024-04-01,959.06
