id,Job Satisfaction,Salary,Salary Unit,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Date
20677,9,"104,000",peryear,"Orlando, FL, US",Project Manager,Corporate,201-500 People,Yes,Unpaid Overtime,10.0,"8,000",Full-time,8-10,31-35,Female,Licensed,,,,Mar '25
20676,4,"60,000",peryear,"Portland, OR, US",Designer,Corporate,51-100 People,Yes,Unpaid Overtime,15.0,,Full-time,1,21-25,Male,No,UG:The University of Texas at Austin,,,Mar '25
20675,8,"105,000",peryear,"Philadelphia, PA, US",Project Manager,Other,101-200 People,Yes,Unpaid Overtime,,,Full-time,21-25,46-50,Female,Licensed,,,,Mar '25
20673,8,"80,000",peryear,"New Orleans, LA, US",Job Captain,Corporate,501 + People,Yes,,,,Full-time,16-20,36-40,Male,No,UG:Florida A&M University,Grad:University of Florida,,Mar '25
20671,8,"86,676",peryear,"Alexandria, VA, US",Designer,Other,101-200 People,Yes,Paid Overtime,24.0,"4,500",Full-time,2,21-25,Female,No,UG:University of Maryland,,,Mar '25
20669,8,"78,000",peryear,"Phoenix, AZ, US",Designer,,16-30 People,Yes,,10.0,"4,000",Full-time,6-7,31-35,Male,No,UG:University of Arizona,,,Mar '25
20666,6,"75,000",peryear,"Charleston, SC, US",Intermediate Architect,Corporate,201-500 People,Yes,Unpaid Overtime,14.0,"2,000",Full-time,6-7,26-30,Male,Licensed,UG:Clemson University,,,Mar '25
20665,2,"103,000",peryear,"Portland, OR, US",Project Architect,,31-50 People,Yes,,,,Full-time,16-20,36-40,Male,Licensed,,,,Mar '25
20663,3,"92,000",peryear,"Seattle, WA, US",Designer,,501 + People,,,,,,8-10,31-35,Female,No,,,,Mar '25
20661,8,"179,000",peryear,"Kansas City, MO, US",Principal,Corporate,31-50 People,Yes,,10.0,,Full-time,21-25,41-45,Male,Licensed,UG:The University of Kansas,,,Mar '25
20659,8,"77,000",peryear,"Emeryville, CA, US",Intermediate Designer,Corporate,31-50 People,Yes,No Overtime,16.0,"2,500",Full-time,3,26-30,Male,No,,"Grad:University of California, Los Angeles (UCLA)",,Mar '25
20658,4,"94,000",peryear,"Dallas, TX, US",Project Architect,Corporate,501 + People,Yes,Unpaid Overtime,15.0,"7,000",Full-time,3-5,26-30,Female,Licensed,UG:The University of Texas at Arlington,Grad:The University of Texas at Arlington,,Mar '25
20657,8,"62,000",peryear,"Providence, RI, US",Designer,,11-15 People,Yes,,15.0,"2,000",Full-time,3-5,26-30,Male,No,,,,Mar '25
20656,7,"69,000",peryear,"Nashville, TN, US",Junior Designer,Corporate,31-50 People,Yes,Unpaid Overtime,20.0,"3,000",Full-time,< 1,21-25,Female,No,UG:The University of Tennessee - Knoxville,,,Mar '25
20655,7,"92,000",peryear,"Oakland, CA, US",Project Manager,Boutique,6-10 People,Yes,,10.0,"6,000",Full-time,3-5,26-30,Male,Licensed,UG:The University of British Columbia,Grad:Yale University,,Mar '25
