Location,Latitude,Longitude
"Boston, MA, US",42.3554334,-71.060511
"New York, NY, US",40.7127281,-74.0060152
"San Francisco, CA, US",37.7792588,-122.4193286
"Sioux Falls, SD, US",43.5476008,-96.7293629
"San Diego, CA, US",32.7174202,-117.162772
"New Orleans, LA, US",29.9759983,-90.0782127
"Maplewood, NJ, US",40.7312123,-74.2734808
"Missoula, MT, US",46.8701049,-113.995267
"Miami, FL, US",25.7741728,-80.19362
"Marion, IL, US",38.6477381,-88.9232112
"West Palm Beach, FL, US",26.715364,-80.0532942
"Indianapolis, IN, US",39.7683331,-86.1583502
"Los Angeles, CA, US",34.0536909,-118.242766
"Austin, TX, US",30.2711286,-97.7436995
"Nashville, TN, US",36.1622767,-86.7742984
"Dallas, TX, US",32.7762719,-96.7968559
"Decatur, GA, US",30.8736613,-84.5740953
"Lancaster, PA, US",40.08067,-76.2411283
"Houston, TX, US",29.7589382,-95.3676974
"Birmingham, AL, US",33.5206824,-86.8024326
"Cincinnati, OH, US",39.1014537,-84.5124602
"Cambridge, MA, US",42.3656347,-71.1040018
"Chicago, IL, US",41.8755616,-87.6244212
"Kansas City, MO, US",39.100105,-94.5781416
"Charleston, SC, US",32.7884363,-79.9399309
"Philadelphia, PA, US",39.9527237,-75.1635262
"Reston, VA, US",38.953055899999995,-77.35021396591173
"Princeton, NJ, US",40.3496953,-74.6597376
"Saint Louis, MO, US",38.6280278,-90.1910154
"Allen, TX, US",33.1031744,-96.6705503
"Waukesha, WI, US",43.0622536,-88.3123889
"Boulder, CO, US",40.0149856,-105.270545
"Seattle, WA, US",47.6038321,-122.330062
"Florida, US",27.7567667,-81.4639835
"Washington, DC, US",38.8950368,-77.0365427
"Glens Falls, NY, US",43.309941,-73.644447
"Irvine, CA, US",33.6856969,-117.825981
"Oak Brook, IL, US",41.8328085,-87.9289504
"Fargo, ND, US",46.877229,-96.789821
"Boca Raton, FL, US",26.3586885,-80.0830984
"Greenville, SC, US",34.851354,-82.3984882
"Cookeville, TN, US",36.1623886,-85.4997057
"Detroit, MI, US",42.3315509,-83.0466403
"Atlanta, GA, US",33.7489924,-84.3902644
"King City, CA, US",36.2135325,-121.12864159269489
"Tampa, FL, US",27.9477595,-82.458444
"New Haven, CT, US",41.3082138,-72.9250518
"Basalt, CO, US",39.3688731,-107.032824
"Grand Junction, CO, US",39.0672568,-108.56448
"Overland Park, KS, US",38.9742502,-94.6851702
"Eugene, OR, US",44.0505054,-123.0950506
"Newark, NJ, US",40.735657,-74.1723667
"Chattanooga, TN, US",35.0457219,-85.3094883
"Columbus, OH, US",39.9622601,-83.0007065
